"scenario","year","category","hwp"
"3: Balanced Pathway",2021,"Timber",13038097.0009523
"3: Balanced Pathway",2022,"Fuel",0
"3: Balanced Pathway",2022,"Timber",13030751.3472749
"3: Balanced Pathway",2023,"Fuel",0
"3: Balanced Pathway",2023,"Timber",13025916.7874027
"3: Balanced Pathway",2024,"Fuel",0
"3: Balanced Pathway",2024,"Timber",13059978.669059
"3: Balanced Pathway",2025,"Fuel",0
"3: Balanced Pathway",2025,"Timber",13061860.3577781
"3: Balanced Pathway",2026,"Fuel",0
"3: Balanced Pathway",2026,"Timber",12197954.192744
"3: Balanced Pathway",2027,"Fuel",0
"3: Balanced Pathway",2027,"Timber",12321517.450326
"3: Balanced Pathway",2028,"Fuel",0
"3: Balanced Pathway",2028,"Timber",12692042.3288677
"3: Balanced Pathway",2029,"Fuel",0
"3: Balanced Pathway",2029,"Timber",12960247.3001969
"3: Balanced Pathway",2030,"Fuel",0
"3: Balanced Pathway",2030,"Timber",13079694.2128649
"3: Balanced Pathway",2031,"Fuel",0
"3: Balanced Pathway",2031,"Timber",13242277.3863064
"3: Balanced Pathway",2032,"Fuel",0
"3: Balanced Pathway",2032,"Timber",13456750.9491711
"3: Balanced Pathway",2033,"Fuel",0
"3: Balanced Pathway",2033,"Timber",13671283.9704938
"3: Balanced Pathway",2034,"Fuel",0
"3: Balanced Pathway",2034,"Timber",13996424.5671502
"3: Balanced Pathway",2035,"Fuel",0
"3: Balanced Pathway",2035,"Timber",13776395.3766144
"3: Balanced Pathway",2036,"Fuel",0
"3: Balanced Pathway",2036,"Timber",12482126.2959932
"3: Balanced Pathway",2037,"Fuel",0
"3: Balanced Pathway",2037,"Timber",12722141.5959932
"3: Balanced Pathway",2038,"Fuel",0
"3: Balanced Pathway",2038,"Timber",12962158.4265499
"3: Balanced Pathway",2039,"Fuel",0
"3: Balanced Pathway",2039,"Timber",14414795.0288632
"3: Balanced Pathway",2040,"Fuel",0
"3: Balanced Pathway",2040,"Timber",14741535.0485155
"3: Balanced Pathway",2041,"Fuel",0
"3: Balanced Pathway",2041,"Timber",14817512.4016651
"3: Balanced Pathway",2042,"Fuel",0
"3: Balanced Pathway",2042,"Timber",15060743.0990725
"3: Balanced Pathway",2043,"Fuel",0
"3: Balanced Pathway",2043,"Timber",15300753.8452196
