"scenario","year","lcm","area"
"3: Balanced Pathway",2020,"Fen, marsh & swamp",166634.625
"3: Balanced Pathway",2020,"Freshwater",312163.0625
"3: Balanced Pathway",2020,"Heather",2694729
"3: Balanced Pathway",2020,"Improved grassland",6960252.875
"3: Balanced Pathway",2020,"Inland rock",126968.75
"3: Balanced Pathway",2020,"Saltmarsh",71372.875
"3: Balanced Pathway",2020,"Semi-natural grassland",2236996.6875
"3: Balanced Pathway",2020,"Urban and suburban",1771663.5625
"3: Balanced Pathway",2025,"Arable and horticulture",5421402.5625
"3: Balanced Pathway",2025,"Arable and horticulture (agroforestry)",54992.9375
"3: Balanced Pathway",2025,"Biomass crops",12967.9375
"3: Balanced Pathway",2025,"Bog",1386291.9375
"3: Balanced Pathway",2025,"Broadleaved woodland",1709604.375
"3: Balanced Pathway",2025,"Coastal",388057.875
"3: Balanced Pathway",2025,"Coniferous woodland",1819022.4375
"3: Balanced Pathway",2025,"Fen, marsh & swamp",214296.6875
"3: Balanced Pathway",2025,"Freshwater",312163.0625
"3: Balanced Pathway",2025,"Heather",2406949.0625
"3: Balanced Pathway",2025,"Improved grassland",6743993.625
"3: Balanced Pathway",2025,"Improved grassland (agroforestry)",83292.5625
"3: Balanced Pathway",2025,"Inland rock",126968.75
"3: Balanced Pathway",2025,"Paludiculture",4541.125
"3: Balanced Pathway",2025,"Saltmarsh",71372.875
"3: Balanced Pathway",2025,"Semi-natural grassland",2131870
"3: Balanced Pathway",2025,"Urban and suburban",1837525.3125
"3: Balanced Pathway",2030,"Arable and horticulture",5250208.5625
"3: Balanced Pathway",2030,"Arable and horticulture (agroforestry)",109979.125
"3: Balanced Pathway",2030,"Biomass crops",104979.5625
"3: Balanced Pathway",2030,"Bog",1671274.5
"3: Balanced Pathway",2030,"Broadleaved woodland",1826037
"3: Balanced Pathway",2030,"Coastal",388057.875
"3: Balanced Pathway",2030,"Coniferous woodland",1882289.25
"3: Balanced Pathway",2030,"Fen, marsh & swamp",274562.4375
"3: Balanced Pathway",2030,"Freshwater",312163.0625
"3: Balanced Pathway",2030,"Heather",2144465.875
"3: Balanced Pathway",2030,"Improved grassland",6463257.125
